Agency Name,Project Name,Start Date,Completion Date (B1),Lifecycle Cost,Planned Cost ($ M),Projected/Actual Cost ($ M)
Department of Homeland Security,SAR Remediation,13/06/2011,19/11/2012,2.092,2.092,2.092
Department of Health and Human Services,FDA ORA RBIS Report Development Support,12/09/2011,11/09/2012,2.085,2.085,3.591
Department of the Treasury,Fiscal IT Mainframes Upgrade,01/10/2011,30/09/2012,2.074,2.074,2.0281
Environmental Protection Agency,Module and System Development and Implementation,01/10/2011,30/09/2012,2.0681,2.0681,2.0681
Nuclear Regulatory Commission,ISMP Web-Based Licensing (WBL),01/10/2011,30/09/2012,2.068,2.068,2.081
Department of Commerce,Backfile Migration,01/12/2011,31/07/2012,2.06623,2.06623,1.49467
Department of Transportation,Electronic File System (EFS),25/10/2006,30/04/2015,6.379,2.064,2.573
Department of Health and Human Services,2013 DME Activity,01/10/2012,31/12/2013,2.063,2.063,2.063
Department of Commerce,Decouple FPNG from Legacy Systems,01/10/2011,28/12/2012,2.05995,2.05995,2.05994
Department of State,Communications Security Audit Program,01/10/2011,30/09/2012,2.058,2.058,2.058
Nuclear Regulatory Commission,ISMP Steady State - FY11 Q4,01/04/2011,30/09/2011,2.056,2.056,2.068
Department of Commerce,Create Reports in EDW FPNG,30/06/2011,31/12/2012,2.04412,2.04412,2.04412
Department of Housing and Urban Development,Talent Management,22/03/2012,30/09/2013,2.037212,2.03721,2.03721
Department of Homeland Security,Segment 1,24/09/2008,28/02/2013,30.5,2.035,2.035
U.S. Army Corps of Engineers,Enterprise Operations and Maintenance,01/10/2011,30/09/2013,12.15,2.035,2.035
Department of State,Enterprise Data Warehouse (EDW),29/09/2008,30/09/2017,43.979,2.03414,3.719
Department of Education,New Regulatory Metrics,25/04/2011,15/12/2012,2.03,2.03,2.529
Department of Veterans Affairs,Telemedicine (Store and Forward Telepathology Teleaudiology),15/09/2008,16/09/2013,6.628798,2.021162,2.021162
Department of Health and Human Services,SGS Development 2012,29/09/2011,31/03/2012,2.02,2.02,3.03
Department of Transportation,Phoenix RWSL,07/06/2007,16/10/2012,10.711439,2.018669,2.101
Department of Labor,Evidence Management Initiative,04/01/2010,30/09/2013,3.192,2.007189,1.984257
Department of Homeland Security,EARM 3.0 Release 2,01/07/2010,31/10/2011,8.44,2,2
Department of Homeland Security,ADIS FY13 Maintenance Release Project,01/10/2012,30/09/2013,2,2,2
Department of Homeland Security,FAMIS Modernization,01/07/2011,30/09/2012,2,2,2
Department of Agriculture,FY12 Business Assessment,01/11/2011,30/09/2012,2,2,0
U.S. Agency for International Development,Networks,01/04/2012,01/03/2013,2,2,2
General Services Administration,FY12 Standard Acquisition Interface,01/10/2011,30/09/2012,2,2,2
Department of the Interior,"RMSS REMM2012 (Refresh, Enhancement, Maintenance, and Mitigate)",01/10/2011,30/09/2012,2,2,2
Department of Commerce,Prepare NDE System for transitioning to OSPO.,01/10/2011,28/09/2012,2.308,2,2.173
Department of Commerce,Data Delivery,01/07/2008,30/09/2014,8.824,2,2.15799
Department of Veterans Affairs,Beneficiary Travel Enhancement,01/10/2010,09/10/2012,2.325,1.998856,1.998856
Department of Transportation,Telecommunications - Local Area Network Deployment 5,03/10/2011,28/09/2012,1.992704,1.992704,1.788488
Department of Agriculture,Hosting,01/10/2011,30/09/2012,1.988088,1.988088,1.988088
Department of Homeland Security,ADIS FY11 Maintenance Release Project,01/10/2010,30/09/2011,1.98,1.98,1.98
Department of the Treasury,Bank Transaction Module,03/10/2011,13/07/2013,2.4432,1.9763,1.545542
Social Security Administration,FY12 DRAP Enhancements,03/10/2011,30/09/2012,1.96007,1.96007,1.89719
Department of Homeland Security,HME SG Maintenance,01/10/2011,30/09/2012,2,1.95,2
Department of the Treasury,Operations and Maintenance,01/07/2011,31/12/2011,1.947777,1.947522,1.974987
General Services Administration,Data.gov FY12 DME Infrastructure,01/10/2011,30/09/2012,1.93,1.93,1.93
Department of Education,eCB System - Option Year 4 - FY'11 Closeout,01/01/2011,31/03/2012,1.93,1.93,1.86047
Department of the Treasury,Integrated Data Retrieval System (IDRS) - Filing Season 2012,01/10/2011,31/03/2012,1.927104,1.927104,1.842348
Department of the Treasury,Integrated Data Retrieval System (IDRS) -Mid-Year 2012,01/04/2012,30/09/2012,1.927104,1.927104,1.894637
Department of the Treasury,IMFOUT,01/10/2011,30/09/2012,1.925,1.925,1.771877
Department of Transportation,Ceilometer Solution Development and Production,15/01/2005,30/09/2012,20.97,1.92395,0.8715
Department of State,Pre-IVO-Technology (piVot),07/10/2011,31/12/2012,2.443,1.921221,1.972113
Department of Commerce,Convert the legacy from image to text Phase 1,01/10/2010,30/09/2011,1.91382,1.91382,2.20596
Department of Transportation,Flight Deck Based Interval Management - Separation (FIM-S),01/10/2010,30/09/2013,3.432272,1.909765,1.706301
Department of Commerce,Government Treasury Account Symbol (GTAS) Implementation,24/05/2011,31/12/2012,1.9085,1.908266,1.846083
Department of Veterans Affairs,Mental Health Enhancements - Outcomes Monitoring,01/06/2010,30/09/2013,8.024191,1.902214,1.911
Department of Agriculture,ITM Phase 3 Develop. New_12A,01/10/2011,30/03/2012,1.9,1.9,1.9
Department of Agriculture,ITM Phase 3 Develop. New_12B,01/04/2012,30/09/2012,1.9,1.9,1.9
Department of Agriculture,ITM Phase 3 Develop. New_13A,01/10/2012,30/03/2013,1.9,1.9,1.9
Department of Agriculture,ITM Phase 3 Develop. New_13B,01/04/2013,30/09/2013,1.9,1.9,1.9
U.S. Army Corps of Engineers,Data At Rest (DAR),01/10/2010,30/09/2013,4.5,1.9,1.9
Department of Health and Human Services,BCHMIS - UDS,01/07/2011,28/09/2012,1.9,1.9,1.96
Department of Commerce,OPD (One Portal Dossier),18/01/2012,31/07/2013,1.89967,1.89967,1.89967
Department of the Treasury,IMFPRE,01/10/2011,30/09/2012,1.899,1.899,1.924857
Department of Veterans Affairs,Workforce Planning,25/03/2011,30/09/2012,6.249673,1.89481,1.89481
General Services Administration,FY12 DME: EAS Product Schedules - Iteration 1,01/11/2011,09/08/2012,1.824522,1.887375,1.887375
Department of Justice,Guardian 2.5,01/07/2011,31/05/2012,1.884,1.884,1.867
Department of Justice,Guardian 2.5.1,02/01/2012,30/11/2012,1.884,1.884,1.74976
Department of Justice,Guardian 2.5.2,01/07/2012,31/05/2013,1.884,1.884,1.841
Department of Justice,eGuardian 1.3.7,01/04/2011,29/02/2012,1.884,1.884,1.8688
Department of Justice,eGuardian 1.3.8,03/10/2011,31/08/2012,1.884,1.884,1.824
Department of Justice,eGuardian 1.3.9,02/04/2012,28/02/2013,1.884,1.881,1.84
Department of Homeland Security,Technical Resource for Incident Prevention Wire (TRIPWire): Maintenance,28/09/2005,30/09/2019,8.651,1.864,2.16
Department of the Interior,Project Planning,05/09/2011,30/09/2012,1.85,1.85,1.85
Social Security Administration,FY12 eCDR Long-Term,03/10/2011,31/01/2012,1.84942,1.84942,2.05864
Department of Transportation,Chicago RWSL,28/02/2008,22/05/2013,4.953508,1.843805,2.4629
Department of Transportation,Enterprise Data Center - Registry Team Projects,02/11/2011,13/03/2013,1.905005,1.843647,1.728647
Department of Veterans Affairs,Warrior Support Federal Case Management Tool (FCMT) - Integrated Disability Evaluation System (IDES) Phase l,03/10/2011,30/09/2013,3.825,1.834856,1.834856
Department of Education,FMS Maintenance,06/09/2011,09/12/2012,1.834,1.834,1.834
Department of Agriculture,ePermits O&M FY11 Part 1.,01/04/2011,30/09/2011,1.8205,1.8205,1.4564
Department of Labor,ECS Maintenance Releases,01/10/2011,28/09/2012,1.81809,1.81809,2.1687
Department of Transportation,ASTI Lifecycle Support,01/09/2011,30/09/2013,5.961694,1.815125,1.478481
Department of Homeland Security,Construct and Deployment of IFT System to Nogales AO,18/09/2012,16/09/2013,56,1.814,1.814
Department of Agriculture,FMMI Deployment 3,01/10/2011,31/03/2012,8.942,1.811138,6.777
Department of Veterans Affairs,CSEMO Performance and Talent Management System (CPTMS),26/07/2011,27/09/2013,5.754363,1.810969,1.810989
Department of Labor,E-Filing,28/03/2011,18/02/2013,5.766,1.802,1.91
Department of Veterans Affairs,Veteran Online Health Application (VOA),01/02/2011,28/01/2013,20.726,1.8,1.8
Department of Homeland Security,HSDN Enhancements,15/04/2011,28/09/2012,3.85,1.8,0.916
Department of Homeland Security,4th Qtr TWIC Maintenance,01/07/2011,30/09/2011,1.8,1.8,1.8
Department of Veterans Affairs,ASISTS (Automated Safety Incident Surveillance and Tracking System) Case Management,07/09/2011,30/03/2012,24.8,1.8,1.8
Department of Homeland Security,Communications Capabilities,01/10/2011,30/09/2017,167.35,1.8,1.8
Department of Energy,DM-17,01/01/2012,31/12/2012,1.8,1.8,1.8
Department of Health and Human Services,CMS CCIIO Healthcare.GOV Plan Finder Final Data Collection from CMP and Transition to RBIS,26/07/2011,25/01/2012,1.8,1.8,1.402
Department of Homeland Security,Reporting Tool Development,15/07/2010,15/07/2012,1.793,1.793,1.793
Department of Health and Human Services,FDA OC Business Intelligence Reporting System,01/10/2007,30/09/2019,24.113,1.793,1.806
Department of State,FY11 FACTS Info Development,01/10/2010,30/09/2011,1.7749,1.774887,1.913888
Department of Commerce,"NIST, OIG Migration",31/10/2012,30/09/2013,1.77327,1.761699,1.761699
Department of Homeland Security,Single Sign-On Services,28/04/2010,30/09/2028,65.022,1.755,1.755
Department of Commerce,FY12 Server Replacement,01/09/2011,30/11/2012,1.7542,1.7542,1.61167
Department of Agriculture,Provision O&M Services,01/10/2011,30/09/2012,675,1.75,1.35
Department of Transportation,Sustainability Analysis,01/10/2010,30/09/2012,3.45,1.75,1.75
General Services Administration,RBA/NBA Consolidation,01/10/2011,30/09/2012,1.75,1.75,1.76
Department of Homeland Security,Automated Critical Asset Management System (ACAMS): Maintenance,01/07/2006,30/09/2019,10.602,1.75,1.751
Department of Veterans Affairs,Human Resources Information System (HRIS) Shared Service Center (SSC),01/07/2011,30/09/2017,76.3,1.744313,1.744313
Department of Health and Human Services,FDA OC Hyperion Planning System,15/08/2004,30/09/2019,38.737,1.744,1.821
Department of State,New Hire Process Automation,01/10/2009,30/09/2013,2.344,1.731528,1.594614
Department of Agriculture,2012 support service maint_12A,01/10/2011,30/03/2012,1.728,1.728,1.728
Department of Agriculture,2012 support service maint_12B,01/04/2012,30/09/2012,1.728,1.728,1.728
Department of State,EMS Projects,01/10/2011,30/09/2012,1.723225,1.723225,1.723225
Department of Transportation,Mobility - Lifecycle Refresh for Other Hardware / Devices,03/10/2011,28/09/2012,1.721284,1.721284,1.641284
Department of Agriculture,ePermits O&M FY12 Part 1,01/04/2012,30/09/2012,1.713,1.713,1.713
Department of Agriculture,Integration/Service Oriented Architecture,01/11/2010,31/07/2014,4.004,1.7125,1.7125
Department of Veterans Affairs,VAM Health Resource Center (HRC) Phase I,01/06/2010,30/12/2011,3.582984,1.702803,1.702803
Department of Veterans Affairs,VAFM Construction Project Management Software,12/10/2010,30/12/2015,16.148671,1.702256,1.702256
Department of State,IT Installations (LWS/ITL),01/10/2011,30/09/2032,1.701,1.701,1.701
Department of Veterans Affairs,SCIP Automation Tool (SAT) - Long Term Solution,01/11/2010,15/10/2012,38.603,1.688296,1.688296
Department of Veterans Affairs,Event Capture Enhancements,01/07/2011,30/12/2011,2.0775,1.6875,1.6875
Department of Defense,PMO Support,01/10/2011,30/09/2012,1.682,1.682,1.682
Department of Transportation,Enterprise Data Center - Storage Team Projects,14/10/2011,13/02/2013,1.673141,1.673141,2.207414
Department of Veterans Affairs,iEHR Presentation Layer,02/02/2012,31/12/2014,27.08,1.668,1.668
Department of Health and Human Services,CMS CCIIO Healthcare.Gov Submission Window Modifications,01/03/2012,06/06/2012,1.668,1.668,1.015
Department of Veterans Affairs,CWINRS_BDN Migration,01/10/2009,08/02/2013,13.93,1.659,1.659
Department of Commerce,TSDR FY12,25/01/2012,01/03/2013,1.65455,1.65455,1.65405
Department of the Treasury,2012 Project Management,01/10/2011,30/09/2012,1.661,1.653,1.659703
Department of Commerce,IT Security,01/10/2011,30/09/2012,1.65,1.65,1.65
Department of Health and Human Services,FDA ORA ALM Electronic Laboratory Exchange Network (eLEXNET) Support 1,22/07/2010,11/01/2012,1.644,1.644,1.518
Department of Defense,Training Support,01/10/2011,30/09/2012,1.638,1.638,1.638
Department of Health and Human Services,FDA ORA RBIS Data Availability,12/09/2011,11/09/2012,1.635,1.635,2.352
Department of Transportation,TFMS Tech Refresh Phase 2 (APB),30/03/2012,30/09/2015,32.67,1.634,1.634
Department of Labor,FY11 Application Improvement Releases,01/06/2010,31/08/2011,3.769769,1.631924,1.037095
Department of Homeland Security,Case Management FY11 Q4 close out,01/10/2010,30/09/2011,1.624,1.624,1.51
Department of Agriculture,Enterprise Management - ITSM: Acquisition - Phase 1,01/08/2012,31/01/2013,1.622304,1.622304,1.622304
Social Security Administration,Appointed Representative,03/10/2011,30/09/2012,1.62046,1.62045,1.14068
Small Business Administration,PROJ: LAS Incremental UI,27/09/2010,27/05/2012,1.6193,1.6192,1.6355
Department of State,NLM Projects,01/10/2011,30/09/2012,1.61445,1.614448,1.614448
Department of Transportation,Seattle RWSL,28/02/2008,16/10/2012,5.971,1.613174,1.603866
Department of Veterans Affairs,EVH Handheld Devices for Homeless Program,01/12/2010,07/12/2012,19.619,1.61,0.756378
Department of Justice,CODIS Software FY11 Service Pack,01/07/2011,27/09/2011,1.61,1.61,1.365506
Department of State,BEC,01/10/2008,30/09/2017,1.607,1.607,1.607
Small Business Administration,PROJ: OneTrack CMS,25/04/2011,31/10/2013,1.615,1.6054,0.8258
Department of Agriculture,FMMI Deployment 3 Wave 1,02/04/2012,31/05/2012,1.602,1.601,2.184
Department of Homeland Security,HS SLIC Consolidation,15/03/2011,30/12/2011,2.5,1.6,1.6
Department of Health and Human Services,EHB - BHPR Data Report,03/10/2011,31/05/2012,1.6,1.6,1.865
Department of Veterans Affairs,Portfolio Classification and Reporting Tool (PCRT),04/07/2011,28/06/2015,2.297604,1.6,1.6
Department of Commerce,IT Security,01/10/2011,30/09/2012,1.6,1.6,1.6
Department of Transportation,Flight and State Data Management - Future Communications Infrastructure,01/01/2012,30/09/2012,1.6,1.6,1.6
Small Business Administration,PROJ: CASE,26/07/2011,30/04/2013,1.6,1.6,1.6
Department of Transportation,FMCSA ICAM,01/04/2012,30/09/2013,1.6,1.6,1.6
Department of Commerce,Acquisition Planning and Support,01/10/2012,31/03/2014,1.59772,1.59772,1.59772
Department of Commerce,Verification Services,01/05/2010,30/09/2025,13.809,1.588847,1.329247
Department of Health and Human Services,NEDSS - Base System Development,21/12/2010,30/09/2013,2.477,1.585,1.413
Department of Commerce,Deliver Phase 1 Mission Continuity Products from NPP,01/11/2011,15/09/2012,1.58,1.58,1.58
Department of Veterans Affairs,Intensive Care Unit and Anesthesia Record Keeper (ICU ARK) Analytics System,10/12/2010,29/03/2013,45.475,1.57313,5.26072
Department of Labor,Maintenance - PPI Repricing and Estimation Subsystems Upgrade,03/10/2011,29/06/2012,1.572,1.572,1.048
Department of Homeland Security,Email Services,28/04/2010,30/09/2028,157.248,1.562,1.562
Department of Commerce,Replacement Tabulation System,01/07/2011,28/09/2012,1.55809,1.55809,2.425152
Department of Health and Human Services,FDA OC-OIM Operational Infrastructure: Windows 7 Upgrade,01/09/2010,01/10/2012,1.893,1.554,1.837
Social Security Administration,FY12 - APM - Elimination of AJS1 &amp; FDOPS - P&amp;A,01/10/2011,30/09/2012,1.543056,1.54303,0.98563
Department of Transportation,B - VSCS Console Equipment Programming Language for Microcomputers to C Conversion (VCE PLM2C),01/04/2008,30/09/2014,6,1.539,1.557162
Environmental Protection Agency,CDX FY2012 Planning,01/10/2011,30/09/2012,1.72,1.53,1.2816
Department of Veterans Affairs,ePharmacy D_0 V2,01/12/2010,30/03/2012,4.168464,1.528437,1.528437
U.S. Agency for International Development,GLAAS Enterprise Disaster Recovery,01/10/2011,30/09/2013,1.522,1.522,0
Department of State,Digital Services,01/10/2011,30/09/2032,1.522,1.522,1.522
Department of Education,Web 2.0 Infrastructure O&M on a 5 year cycle 2010 - 2014,25/09/2009,24/09/2014,8.943187,1.521721,1.719277
Department of Veterans Affairs,VAFM Corporate and Regional Matrixed Budget Management System,12/10/2010,28/03/2016,11.5,1.52,1.52
Department of Commerce,CPC Classification in Search Systems - Frontend,19/03/2012,11/04/2013,1.51959,1.51959,1.51959
Department of Health and Human Services,BCHMIS - FQHC-LAL,01/07/2011,27/07/2012,1.515,1.515,1.532
Department of Justice,LEO Rehost,01/06/2009,09/07/2012,13.655,1.51025,1.51025
Department of State,IPMS Enterprise Arch - ESOC West Infrastructure,01/10/2011,30/09/2013,1.512,1.509035,1.509035
Department of Homeland Security,Protected Critical Infrastructure Information Management System (PCIIMS): Maintenance,01/02/2004,30/09/2019,9.397,1.504,1.282
Department of Health and Human Services,"FDA ORA MARCS Authorization, Roles, and Responsibilities Management Services (ARRMS) 3",29/02/2012,28/02/2013,1.502,1.502,1.502
Department of Veterans Affairs,My HealtheVet Capabilities Enhancement,27/06/2011,28/11/2011,19.83,1.501,1.501
Department of Commerce,Government furnished facilities for Bridge Contract  FY12/FY13,01/10/2011,30/09/2013,2.4,1.500004,1.500004
National Aeronautics and Space Administration,Complete Hardware Refresh with a more virtualized environment,01/06/2011,01/01/2012,1.5,1.5,1.5
Department of Homeland Security,Text Messaging and Mobile Platform,01/10/2011,31/12/2012,1.5,1.5,1.5
Department of Homeland Security,RightNow CRM Integration,01/10/2011,30/09/2012,1.5,1.5,1.5
Department of Homeland Security,Vessels,01/01/2012,30/09/2012,1.5,1.5,1.879
Department of Homeland Security,FRC IA/ATO,01/10/2011,30/09/2017,10.5,1.5,1.5
Department of Veterans Affairs,Nov 2011 Release DSS Extracts,14/02/2011,23/11/2011,1.76,1.5,1.70772
Department of Energy,Data Center Modernizations,01/01/2012,31/12/2012,1.5,1.5,1.5
General Services Administration,FY11 Reporting Strategy Business Objects,01/01/2011,30/09/2011,1.5,1.5,1.5
General Services Administration,FY12 Reporting Strategy/Business Objects,01/10/2011,30/09/2012,1.5,1.5,1.5
Department of Commerce,Telemetry and Control Instruments,01/10/2011,30/09/2012,1.5,1.5,1.5
Department of Commerce,ECM Sharepoint Document Management Pilot,01/12/2011,30/11/2012,1.5,1.5,0.836405
Department of Labor,IDMS Planning,01/08/2012,31/05/2013,1.5,1.5,1.5
Department of Commerce,Implementation Planning,01/10/2012,31/03/2014,1.49178,1.49178,1.49178
Department of State,New Embassy Compound Moves,01/10/2011,30/09/2032,1.491,1.491,1.491
Department of Health and Human Services,Physician Feedback,01/09/2011,29/09/2012,1.496,1.479,1.619
Department of Labor,Revolving Fund Interfaces,15/09/2010,29/09/2011,2.995,1.476,1.537
Department of Energy,HQ-Infrastructure,01/10/2011,30/11/2013,1.47448,1.47448,1.47448
Department of Health and Human Services,OS Web Mgt - Cloud Infrastructure,01/06/2011,14/08/2012,1.474,1.473,1.473
Department of Veterans Affairs,eClaims Iteration 5,01/12/2010,23/03/2012,4.010356,1.470464,1.470464
Department of Transportation,Dulles RWSL,10/12/2007,16/10/2012,9.401802,1.462152,1.457638
Department of Agriculture,Refresh,01/04/2012,30/09/2012,1.46,1.46,1.46
Department of Homeland Security,Human Capital Segment Architecture,01/10/2010,29/09/2011,1.459,1.459,1.714
Department of State,FY12 PEPFAR Module Development,01/10/2011,30/09/2012,1.45873,1.458727,1.458727
Department of Transportation,OST ICAM,01/10/2010,30/09/2013,1.45584,1.45584,1.45584
Department of Health and Human Services,eRA - Electronic Intake of Type 3s and Type 7s,09/09/2010,27/07/2012,1.455,1.455,1.496
Department of Commerce,FY12 D2D2T,13/09/2011,22/08/2012,1.45952,1.45181,1.45181
Department of Agriculture,GSM Migration,01/07/2011,30/09/2012,1.451,1.451,1.21
Department of Homeland Security,Hardware Modernization,01/06/2009,01/04/2012,6.5,1.45,1.49
Department of Agriculture,ePermits O&M FY12 Part 2,01/10/2012,31/03/2013,1.45,1.45,1.45
Department of the Treasury,End Users Maintenance Activities,01/10/2011,30/09/2012,1.45,1.45,1.468854
Department of Homeland Security,First Article Test of vehicles,28/08/2011,22/06/2012,1.45,1.45,1.45
Department of Commerce,Windows Rearchitecture,01/07/2011,31/03/2013,1.445,1.442,1.4451
Department of Homeland Security,CLAIMS 3 DBA Support,02/10/2011,30/09/2012,1.44,1.44,4.056
Department of Labor,Document Management Systems (DMS),01/11/2011,30/11/2012,1.44,1.44,1.44
Department of Commerce,Applicant to Office Interface - (TEXT2PTO),04/06/2012,28/11/2012,1.43565,1.43565,1.43565
Department of Health and Human Services,EHRP Program Upgrade,01/08/2011,28/09/2012,1.435,1.435,1.435
Department of Health and Human Services,OS Web Mgt - Healthcare Finder,01/06/2011,31/05/2012,1.836,1.434,1.434
U.S. Army Corps of Engineers,WPC Move,15/11/2010,30/09/2013,1.75,1.425,1.4
Department of Justice,NGCODIS 7.0 Deployment,01/08/2011,31/12/2012,1.425,1.425,1.425
Department of Labor,Mobile Computing,01/09/2011,30/09/2013,1.5,1.42,1.42
Department of Homeland Security,eHR Acquisition & Validation Study,01/06/2010,15/07/2011,1.419,1.419,1.418
Department of Defense,Software Development,01/10/2011,30/09/2012,1.416,1.416,1.416
Department of Commerce,SGL Digit Increase (includes TAS from 21 to 27 Characters),01/07/2011,30/09/2012,1.4151,1.415032,1.249517
Department of Defense,Service Release 14,31/05/2011,29/03/2012,1.415,1.415,1.415
Small Business Administration,PROJ: Small Business Innovative Research (SBIR),17/08/2010,11/11/2011,2.25,1.4138,1.3273
Social Security Administration,FY12 - Management Support,01/10/2011,30/09/2012,1.40266,1.40265,1.40265
Department of Homeland Security,IPAWS-OPEN Sustainment and Enhancement,14/04/2011,30/09/2017,8.3,1.4,1.4
Department of Homeland Security,HME Comparability,01/07/2011,27/02/2012,1.4,1.4,1.4
Department of Commerce,ITSM Asset Management,20/06/2012,04/01/2013,1.4,1.4,1.4
Department of Education,COD TIC Implementation,04/09/2012,30/04/2013,1.4,1.4,0.435
Department of Commerce,Firm Age and Size,01/10/2010,06/07/2012,1.6,1.395,0.933
Department of Agriculture,End User Devices - Thin Client: Planning,01/08/2012,31/01/2013,1.39304,1.39304,1.39304
Department of Agriculture,NRM Release 6.0 (September 2012),01/09/2012,30/09/2012,1.392,1.391,1.391
Department of Commerce,Trademark Records Management (TRM) - Phase 1,04/04/2012,30/11/2012,1.39027,1.39027,1.39027
Department of Health and Human Services,Databanks - Release 5.24,01/08/2011,11/05/2012,1.39,1.39,1.074
Department of Commerce,GFDL Data Portal,01/11/2011,29/02/2012,1.383,1.383,1.383
Department of Homeland Security,Web Emergency Operations Center (WebEOC): Maintenance,01/01/2010,30/09/2019,6.29,1.38,1.174
U.S. Army Corps of Engineers,Build 7 - User Interface (Phase III),01/05/2010,31/07/2012,1.375,1.375,1.843881
Department of Commerce,PTONet III Network Access Control FOC,01/03/2011,28/09/2012,1.490352,1.37052,1.039134
Nuclear Regulatory Commission,Reactor Program System (RPS) Maintenance Releases,03/10/2011,28/09/2012,1.363,1.363,1.39824
Department of Health and Human Services,"FDA ORA MARCS Authorization, Roles, and Responsibilities Management Services (ARRMS) 2",27/09/2010,31/07/2011,1.359,1.359,1.345
Department of Veterans Affairs,Education Application Development - TIMS,27/12/2010,23/06/2013,8.4308,1.358783,1.358783
Department of Transportation,ASDE-X Acquisition Closeout,01/07/2011,30/09/2012,1.353684,1.353684,1.353684
Department of Homeland Security,SAP Support Patches,07/11/2011,12/03/2012,1.35,1.35,1.35
Department of Defense,Transportation Tracking Number (TTN),01/06/2009,30/09/2012,19.483,1.35,1.35
Department of Homeland Security,CLAIMS 3 Quarterly Table Updates,03/11/2011,29/08/2012,1.344,1.344,2.207
National Archives and Records Administration,Business Adaptation: Enhanced Access,18/05/2012,15/03/2013,4,1.34,1.34
Department of Veterans Affairs,Traumatic Brain Injury Registry (TBI),28/09/2009,30/09/2015,4.514,1.3395,1.3395
Department of Homeland Security,AIS Recapitalization,17/02/2011,27/06/2012,1.338,1.338,1.338
Department of State,Mainframe System Security Program,01/10/2011,30/09/2012,1.336,1.336,1.336
Department of Homeland Security,PMIS and PIMS Server/Application Migration,01/07/2011,27/07/2012,1.33,1.33,1.31
Department of Transportation,Technology Evolution,01/07/2011,30/09/2012,1.33,1.33,1.33
Department of Homeland Security,TSE Data Management (TDM) FY2012,01/10/2011,30/09/2012,2.667,1.32,1.32
National Archives and Records Administration,CMRS Upgrade,01/10/2010,29/07/2012,1.98,1.31,1.267
Department of Veterans Affairs,Reasonable Charges Billing Enhancements - Annual Updates,01/07/2010,05/10/2012,1.385716,1.306335,1.306335
Social Security Administration,FY12 MSA Management Overhead,03/10/2011,30/09/2012,1.30514,1.30514,1.30514
Department of Labor,Infrastructure Planning and Acquisition,07/09/2011,06/09/2012,1.304,1.304,1.304
Nuclear Regulatory Commission,CIPIMS 2.0,01/10/2011,30/09/2012,1.3,1.3,1.3
U.S. Agency for International Development,General Office Services,01/10/2010,30/09/2011,1.3,1.3,1.3
Department of Education,Cohort Default Rate Changes,15/06/2012,28/02/2013,1.3,1.3,1.3
Department of Commerce,Configure COTS FPNG,15/12/2010,28/08/2012,1.29675,1.29675,1.22086
Department of Labor,MAINTENANCE - SPAMIS MODULE UPGRADES FY12,23/09/2011,22/09/2012,1.295,1.295,1.295
Department of Health and Human Services,FDA ORA MARCS Document Generator Services (DGS),27/09/2010,26/09/2011,1.294,1.294,1.29
Department of Health and Human Services,"Implement PIV-C, PIV-I, and/or Special Use Case Credential Management Services in support of M-11-11",01/05/2010,31/05/2012,1.288,1.288,1.393
National Archives and Records Administration,Continuous Technology Refresh,01/10/2011,30/09/2012,1.286,1.286,0.877
U.S. Army Corps of Engineers,Build 9.2 - GIS Acquisition and Development (Phase II),01/11/2011,30/04/2013,1.28,1.28,1.28
Department of Commerce,IT Lab,18/08/2010,01/03/2012,3.824429,1.27481,0.396252
Department of Transportation,E - VSCS Control Subsystem (VCSU) Commercial Off the Shelf (COTS) Upgrade (VCSU/COTS-U),21/09/2010,31/12/2013,2.171,1.274,1.315375
Social Security Administration,FY12 - Whole File Certification (WFC) - Cycle 1,24/10/2011,30/09/2012,1.342797,1.264753,1.26915
Department of Homeland Security,RVSS Acquisition Planning,23/01/2011,30/09/2012,6.2,1.26,6.2
Department of Health and Human Services,FDA ORA MARCS Data Integration (DI),08/09/2011,07/09/2012,1.259,1.258,1.039
Department of Health and Human Services,BCHMIS - SCOPE,01/07/2011,25/09/2012,1.255,1.255,1.281
Nuclear Regulatory Commission,ADAMS Dependent Applications Migration to FileNET P8 Platform (Phase 2),01/10/2011,30/09/2012,1.325,1.253,1.0502
Small Business Administration,PROJ: FY11 Small Business Platform / Green,01/10/2010,30/09/2011,1.25,1.25,1.25
Department of Commerce,Information Generation,01/10/2010,30/09/2014,5.549,1.25,1.00965
Department of Transportation,"Spring 2014 Release, Develop thru Develop, Test and Evaluate (DT&E)",16/02/2012,28/02/2014,6.245,1.249,0.725
Department of Commerce,Alternative Administrative Records Database,18/11/2011,30/09/2014,2.501,1.242487,0.964457
Department of Commerce,Balance of Payments Process Modernization,20/08/2011,30/09/2012,1.24,1.24,0.838
Department of Transportation,Service Oriented Architecture - Services,03/10/2011,28/09/2012,1.239666,1.239666,1.478488
Department of the Treasury,Centralized Receivable Management,23/08/2011,05/12/2011,1.236,1.236,1.236
Department of Agriculture,Enterprise Management - Perimeter Security: Acquisition,15/08/2012,31/01/2013,1.232951,1.232951,1.232951
Environmental Protection Agency,System Enhancements,01/10/2011,30/09/2012,1.23,1.23,1.116605
Small Business Administration,PROJ: HSPD12 FY 2011 Mixed,27/08/2010,30/09/2011,1.3,1.2286,1.1182
Department of Commerce,FPNG UI&I Stakeholder and Stored Payment Account Management Reports,01/05/2012,28/02/2013,1.225,1.225,1.225
